from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
49205,49205,2023-07-01_31106-7_0,2023-07-01_31106-7_1,1
65300,65300,2023-07-02_13104-5_0,2023-07-02_13104-5_1,1
65300,65300,2023-07-02_13106-7_0,2023-07-02_13106-7_1,1
49205,49205,2023-07-02_31104-5_0,2023-07-02_31104-5_1,1
49205,49205,2023-07-02_31106-7_0,2023-07-02_31106-7_1,1
65300,65300,2023-07-03_13104-5_0,2023-07-03_13104-5_1,1
65300,65300,2023-07-03_13106-7_0,2023-07-03_13106-7_1,1
49205,49205,2023-07-03_31104-5_0,2023-07-03_31104-5_1,1
49205,49205,2023-07-03_31106-7_0,2023-07-03_31106-7_1,1
57703,57703,2023-07-03_36102-3_0,2023-07-03_36102-3_1,1
57703,57703,2023-07-03_63102-3_0,2023-07-03_63102-3_1,1
65300,65300,2023-07-04_13104-5_0,2023-07-04_13104-5_1,1
65300,65300,2023-07-04_13106-7_0,2023-07-04_13106-7_1,1
49205,49205,2023-07-04_31104-5_0,2023-07-04_31104-5_1,1
49205,49205,2023-07-04_31106-7_0,2023-07-04_31106-7_1,1
57703,57703,2023-07-04_36102-3_0,2023-07-04_36102-3_1,1
57703,57703,2023-07-04_63102-3_0,2023-07-04_63102-3_1,1
